All,全部,module,Magento_AdminGws
None,无,module,Magento_AdminGws
"Allowed Scopes",允许的范围,module,Magento_AdminGws
"You need more permissions to delete this item(s): %1.",你需要更高的权限来删除此项目：%1。,module,Magento_AdminGws
"You need more permissions to apply some of the rule updates.",你需要更高的权限应用一些规则的更新。,module,Magento_AdminGws
"Please assign this entity to a store view.",请指定这个店铺视图。,module,Magento_AdminGws
"You can create orders only in an active store.",您只能在活动店铺创建订单。,module,Magento_AdminGws
"Please assign this item to a store view.",请将此项目分配给店铺视图。,module,Magento_AdminGws
"You need more permissions to save this item.",你需要更多的权限，无法保存此项目。,module,Magento_AdminGws
"You need more permissions to delete this item.",你需要更多的权限来删除此项目。,module,Magento_AdminGws
"You need more permissions to view this item.",您需要更多的权限才能查看此项。,module,Magento_AdminGws
"Please specify at least one website or one store group.",请指定至少一个网站或一个店铺组。,module,Magento_AdminGws
"You need more permissions to set All Scopes to a Role.",您需要更多的权限，才能将所有作用域设置到一个角色。,module,Magento_AdminGws
"Incorrect website ID: %1","不正确的网站 ID: %1",module,Magento_AdminGws
"You need more permissions to access website ""%1"".","你需要更多的权限来访问网站""%1""。",module,Magento_AdminGws
"Incorrect store ID: %1","不正确的店铺 ID: %1",module,Magento_AdminGws
"You need more permissions to save this setting.",你需要更高的权限，以保存该设置。,module,Magento_AdminGws
"Role Scopes",角色作用范围,module,Magento_AdminGws
Custom,自定义,module,Magento_AdminGws
"Read Details",查看详情,module,Magento_AdminNotification
"Mark as Read",标记为已读,module,Magento_AdminNotification
"Are you sure?",您确定吗？,module,Magento_AdminNotification
Remove,删除,module,Magento_AdminNotification
"Messages Inbox",消息收件箱,module,Magento_AdminNotification
"You have %1 new system messages","你有 %1 新系统消息",module,Magento_AdminNotification
"You have %1 new system message","你有 %1 新系统消息",module,Magento_AdminNotification
"Incoming Message",收到消息,module,Magento_AdminNotification
close,关闭,module,Magento_AdminNotification
Notifications,通知消息,module,Magento_AdminNotification
"The message has been marked as Read.",邮件已标记为已读。,module,Magento_AdminNotification
"We couldn't mark the notification as Read because of an error.",由于发生错误，我们不能将通知标记为读。,module,Magento_AdminNotification
"Please select messages.",请选择消息。,module,Magento_AdminNotification
"A total of %1 record(s) have been marked as Read.","共有 %1 条记录已标记为已读。",module,Magento_AdminNotification
"Total of %1 record(s) have been removed.","共有 %1 条记录已被删除。",module,Magento_AdminNotification
"We couldn't remove the messages because of an error.",由于发生错误，我们不能删除的消息。,module,Magento_AdminNotification
"The message has been removed.",该消息已被删除。,module,Magento_AdminNotification
"1 Hour","1 小时",module,Magento_AdminNotification
"2 Hours","2 个小时",module,Magento_AdminNotification
"6 Hours","6 个小时",module,Magento_AdminNotification
